Gene symbol,UniProt Accession,Mitochondrial protein annotation type,UniProtKB/Swiss-Prot Annotation,GO_CC Annotation,GO_BP Annotation,PubMed,MitoCarta3.0 Annotation
COX14,Q96I36,Localized,https://www.uniprot.org/uniprotkb/Q96I36/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
COX15,Q7KZN9,Localized,https://www.uniprot.org/uniprotkb/Q7KZN9/entry#subcellular_location ,cytochrome complex [GO:0070069]; mitochondrial inner membrane [GO:0005743]; mitochondrial respirasome [GO:0005746]; mitochondrion [GO:0005739],,,Yes
COX16,Q9P0S2,Localized,https://www.uniprot.org/uniprotkb/Q9P0S2/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743],,,Yes
COX17,Q14061,Localized,https://www.uniprot.org/uniprotkb/Q14061/entry#subcellular_location ,mitochondrial intermembrane space [GO:0005758],,,Yes
COX20,Q5RI15,Localized,https://www.uniprot.org/uniprotkb/Q5RI15/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],,,Yes
COX4I1,P13073,Localized,https://www.uniprot.org/uniprotkb/P13073/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739],,,Yes
COX4I2,Q96KJ9,Localized,https://www.uniprot.org/uniprotkb/Q96KJ9/entry#subcellular_location ,mitochondrial respiratory chain complex IV [GO:0005751],,,Yes
COX5A,P20674,Localized,https://www.uniprot.org/uniprotkb/P20674/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex IV [GO:0005751],,,Yes
COX5B,P10606,Localized,https://www.uniprot.org/uniprotkb/P10606/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739],,,Yes
COX6A1,P12074,Localized,https://www.uniprot.org/uniprotkb/P12074/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739],,,Yes
COX6A2,Q02221,Localized,https://www.uniprot.org/uniprotkb/Q02221/entry#subcellular_location ,mitochondrial respiratory chain complex IV [GO:0005751],,,Yes
COX6B1,P14854,Localized,https://www.uniprot.org/uniprotkb/P14854/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277],,,Yes
COX6B2,Q6YFQ2,Localized,https://www.uniprot.org/uniprotkb/Q6YFQ2/entry#subcellular_location ,mitochondrial crista [GO:0030061]; mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277],,,Yes
COX7A1,P24310,Localized,https://www.uniprot.org/uniprotkb/P24310/entry#subcellular_location ,mitochondrial respirasome [GO:0005746]; mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739],,,Yes
COX7A2,P14406,Localized,https://www.uniprot.org/uniprotkb/P14406/entry#subcellular_location ,mitochondrial membrane [GO:0031966]; mitochondrial respirasome [GO:0005746]; mitochondrial respiratory chain complex IV [GO:0005751],,,Yes
COX7A2L,O14548,Localized,https://www.uniprot.org/uniprotkb/O14548/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respirasome [GO:0005746]; mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739],,,Yes
COX7B,P24311,Localized,https://www.uniprot.org/uniprotkb/P24311/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277],,,Yes
COX7C,P15954,Localized,https://www.uniprot.org/uniprotkb/P15954/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739],,,Yes
COX8A,P10176,Localized,https://www.uniprot.org/uniprotkb/P10176/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277],,,Yes
COX8C,Q7Z4L0,Localized,https://www.uniprot.org/uniprotkb/Q7Z4L0/entry#subcellular_location ,mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277],,,Yes
CPOX,P36551,Localized,https://www.uniprot.org/uniprotkb/P36551/entry#subcellular_location ,mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739],,,Yes
CPS1,P31327,Localized,https://www.uniprot.org/uniprotkb/P31327/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645],,,Yes
CPT1A,P50416,Localized,https://www.uniprot.org/uniprotkb/P50416/entry#subcellular_location ,membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
CPT1C,Q8TCG5,Localized,,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
CPT2,P23786,Localized,https://www.uniprot.org/uniprotkb/P23786/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],,,Yes
CRABP2,P29373,Localized,,,,https://pubmed.ncbi.nlm.nih.gov/16823967/,No
CRAT,P43155,Localized,https://www.uniprot.org/uniprotkb/P43155/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],,,Yes
CS,O75390,Localized,https://www.uniprot.org/uniprotkb/O75390/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
CYB5R3,P00387,Localized,https://www.uniprot.org/uniprotkb/P00387/entry#subcellular_location ,mitochondrial membrane [GO:0031966]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
CYC1,P08574,Localized,https://www.uniprot.org/uniprotkb/P08574/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex III [GO:0005750]; mitochondrion [GO:0005739],,,Yes
CYCS,P99999,Localized,https://www.uniprot.org/uniprotkb/P99999/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739],,,Yes
CYP11A1,P05108,Localized,https://www.uniprot.org/uniprotkb/P05108/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
CYP11B1,P15538,Localized,https://www.uniprot.org/uniprotkb/P15538/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],,,Yes
CYP11B2,P19099,Localized,https://www.uniprot.org/uniprotkb/P19099/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],,,Yes
CYP1B1,Q16678,Localized,https://www.uniprot.org/uniprotkb/Q16678/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
CYP24A1,Q07973,Localized,https://www.uniprot.org/uniprotkb/Q07973/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743],,,Yes
CYP27A1,Q02318,Localized,https://www.uniprot.org/uniprotkb/Q02318/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
CYP27B1,O15528,Localized,https://www.uniprot.org/uniprotkb/O15528/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
CYP2U1,Q7Z449,Localized,https://www.uniprot.org/uniprotkb/Q7Z449/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743],,,No
D2HGDH,Q8N465,Localized,https://www.uniprot.org/uniprotkb/Q8N465/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
DARS2,Q6PI48,Localized,https://www.uniprot.org/uniprotkb/Q6PI48/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
DBT,P11182,Localized,https://www.uniprot.org/uniprotkb/P11182/entry#subcellular_location ,mitochondrial alpha-ketoglutarate dehydrogenase complex [GO:0005947]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739],,,Yes
DDHD1,Q8NEL9,Associated/ancillary,Regulates mitochondrial morphology (https://www.uniprot.org/uniprotkb/Q8NEL9/entry),,positive regulation of mitochondrial fission [GO:0090141],,No
DDX1,Q92499,Localized,https://www.uniprot.org/uniprotkb/Q92499/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
DECR1,Q16698,Localized,https://www.uniprot.org/uniprotkb/Q16698/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
DEGS1,O15121,Localized,https://www.uniprot.org/uniprotkb/O15121/entry#subcellular_location ,mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739],,,No
DGUOK,Q16854,Localized,https://www.uniprot.org/uniprotkb/Q16854/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
DHFR,P00374,Localized,https://www.uniprot.org/uniprotkb/P00374/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
DHODH,Q02127,Localized,https://www.uniprot.org/uniprotkb/Q02127/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],,,Yes
DHTKD1,Q96HY7,Localized,https://www.uniprot.org/uniprotkb/Q96HY7/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
DHX30,Q7L2E3,Localized,https://www.uniprot.org/uniprotkb/Q7L2E3/entry#subcellular_location ,mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739],,,Yes
DIABLO,Q9NR28,Localized,https://www.uniprot.org/uniprotkb/Q9NR28/entry#subcellular_location ,mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739],,,Yes
DISC1,Q9NRI5,Localized,https://www.uniprot.org/uniprotkb/Q9NRI5/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
DLAT,P10515,Localized,https://www.uniprot.org/uniprotkb/P10515/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrial pyruvate dehydrogenase complex [GO:0005967]; mitochondrion [GO:0005739]; pyruvate dehydrogenase complex [GO:0045254],,,Yes
DLD,P09622,Localized,https://www.uniprot.org/uniprotkb/P09622/entry#subcellular_location ,mitochondrial alpha-ketoglutarate dehydrogenase complex [GO:0005947]; mitochondrial matrix [GO:0005759]; mitochondrial pyruvate dehydrogenase complex [GO:0005967]; mitochondrion [GO:0005739],,,Yes
DLST,P36957,Localized,https://www.uniprot.org/uniprotkb/P36957/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
DMPK,Q09013,Localized,https://www.uniprot.org/uniprotkb/Q09013/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741],,,Yes
DNA2,P51530,Localized,https://www.uniprot.org/uniprotkb/P51530/entry#subcellular_location ,mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739],,,Yes
DNAJA3,Q96EY1,Localized,https://www.uniprot.org/uniprotkb/Q96EY1/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739],,,Yes
DNAJC19,Q96DA6,Localized,https://www.uniprot.org/uniprotkb/Q96DA6/entry#subcellular_location ,"inner mitochondrial membrane protein complex [GO:0098800]; matrix side of mitochondrial inner membrane [GO:0099617]; membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; PAM complex, Tim23 associated import motor [GO:0001405]; protein-containing complex [GO:0032991]; TIM23 mitochondrial import inner membrane translocase complex [GO:0005744]",,,Yes
DNAJC30,Q96LL9,Localized,https://www.uniprot.org/uniprotkb/Q96LL9/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743],,,Yes
DNM1L,O00429,Localized,https://www.uniprot.org/uniprotkb/O00429/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
DTYMK,P23919,Localized,,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
DUT,P33316,Localized,https://www.uniprot.org/uniprotkb/P33316/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
DYNLL1,P63167,Localized,https://www.uniprot.org/uniprotkb/P63167/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
EARS2,Q5JPH6,Localized,https://www.uniprot.org/uniprotkb/Q5JPH6/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
ECH1,Q13011,Localized,https://www.uniprot.org/uniprotkb/Q13011/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
ECHS1,P30084,Localized,https://www.uniprot.org/uniprotkb/P30084/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
ECI1,P42126,Localized,https://www.uniprot.org/uniprotkb/P42126/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
ECI2,O75521,Localized,https://www.uniprot.org/uniprotkb/O75521/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
EHHADH,Q08426,Localized,,,,,Yes
ELAC2,Q9BQ52,Localized,https://www.uniprot.org/uniprotkb/Q9BQ52/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739],,,Yes
ELK1,P19419,Localized,,mitochondrial membrane [GO:0031966],,,No
ERAL1,O75616,Localized,https://www.uniprot.org/uniprotkb/O75616/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
ERBB4,Q15303,Localized,https://www.uniprot.org/uniprotkb/Q15303/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,No
ERCC6L2,Q5T890,Localized,https://www.uniprot.org/uniprotkb/Q5T890/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
ESRRA,P11474,Associated/ancillary,Transcriptional activation of mitochondrial biogenesis (Reactome) (https://www.uniprot.org/uniprotkb/P11474/entry),,,https://pubmed.ncbi.nlm.nih.gov/25575635/,No
ETFA,P13804,Localized,https://www.uniprot.org/uniprotkb/P13804/entry#subcellular_location ,electron transfer flavoprotein complex [GO:0045251]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
ETFB,P38117,Localized,https://www.uniprot.org/uniprotkb/P38117/entry#subcellular_location ,electron transfer flavoprotein complex [GO:0045251]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
ETFDH,Q16134,Localized,https://www.uniprot.org/uniprotkb/Q16134/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966],,,Yes
ETHE1,O95571,Localized,https://www.uniprot.org/uniprotkb/O95571/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
FARS2,O95363,Localized,https://www.uniprot.org/uniprotkb/O95363/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
FASTKD1,Q53R41,Localized,https://www.uniprot.org/uniprotkb/Q53R41/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
FASTKD2,Q9NYY8,Localized,https://www.uniprot.org/uniprotkb/Q9NYY8/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739],,,Yes
FBXL4,Q9UKA2,Localized,https://www.uniprot.org/uniprotkb/Q9UKA2/entry#subcellular_location ,mitochondrial intermembrane space [GO:0005758],,,Yes
FBXO7,Q9Y3I1,Localized,https://www.uniprot.org/uniprotkb/Q9Y3I1/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
FDPS,P14324,Localized,,,,,Yes
FDX1,P10109,Localized,https://www.uniprot.org/uniprotkb/P10109/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
FDXR,P22570,Localized,https://www.uniprot.org/uniprotkb/P22570/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
FECH,P22830,Localized,https://www.uniprot.org/uniprotkb/P22830/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
FEZ1,Q99689,Associated/ancillary,May participate in the transport of mitochondria and other cargos along microtubules (https://www.uniprot.org/uniprotkb/Q99689/entry),,establishment of mitochondrion localization [GO:0051654]; mitochondrion morphogenesis [GO:0070584]; positive regulation of anterograde axonal transport of mitochondrion [GO:0061881],,No
FH,P07954,Localized,https://www.uniprot.org/uniprotkb/P07954/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
FIS1,Q9Y3D6,Localized,https://www.uniprot.org/uniprotkb/Q9Y3D6/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
FKBP10,Q96AY3,Localized,,mitochondrial intermembrane space [GO:0005758],,,Yes
FLAD1,Q8NFF5,Localized,https://www.uniprot.org/uniprotkb/Q8NFF5/entry#subcellular_location ,mitochondrial matrix [GO:0005759],,,Yes
FLVCR1,Q9Y5Y0,Localized,https://www.uniprot.org/uniprotkb/Q9Y5Y0/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],,,No
FOXRED1,Q96CU9,Localized,https://www.uniprot.org/uniprotkb/Q96CU9/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739],,,Yes
FPGS,Q05932,Localized,https://www.uniprot.org/uniprotkb/Q05932/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
FTH1,P02794,Localized,,,,,Yes
FTMT,Q8N4E7,Localized,https://www.uniprot.org/uniprotkb/Q8N4E7/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
FXN,Q16595,Localized,https://www.uniprot.org/uniprotkb/Q16595/entry#subcellular_location ,mitochondrial iron-sulfur cluster assembly complex [GO:0099128]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
GABARAPL1,Q9H0R8,Associated/ancillary,Involved in formation of autophagosomal vacuoles (https://www.uniprot.org/uniprotkb/Q9H0R8/entry),,autophagosome assembly [GO:0000045]; autophagy of mitochondrion [GO:0000422],https://pubmed.ncbi.nlm.nih.gov/24879149/,No
GADD45GIP1,Q8TAE8,Localized,https://www.uniprot.org/uniprotkb/Q8TAE8/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
GARS1,P41250,Localized,https://www.uniprot.org/uniprotkb/P41250/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
GATB,O75879,Localized,https://www.uniprot.org/uniprotkb/O75879/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
GATC,O43716,Localized,https://www.uniprot.org/uniprotkb/O43716/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
GATD3B,A0A0B4J2D5,Localized,https://www.uniprot.org/uniprotkb/A0A0B4J2D5/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
GATM,P50440,Localized,https://www.uniprot.org/uniprotkb/P50440/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739],,,Yes
GCDH,Q92947,Localized,https://www.uniprot.org/uniprotkb/Q92947/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
GCK,P35557,Localized,https://www.uniprot.org/uniprotkb/P35557/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
GCSH,P23434,Localized,https://www.uniprot.org/uniprotkb/P23434/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
GDAP1,Q8TB36,Localized,https://www.uniprot.org/uniprotkb/Q8TB36/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
GFER,P55789,Localized,https://www.uniprot.org/uniprotkb/P55789/entry#subcellular_location ,mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739],,,Yes
GFM1,Q96RP9,Localized,https://www.uniprot.org/uniprotkb/Q96RP9/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
GFM2,Q969S9,Localized,https://www.uniprot.org/uniprotkb/Q969S9/entry#subcellular_location ,mitochondrial matrix [GO:0005759],,,Yes
GK,P32189,Localized,https://www.uniprot.org/uniprotkb/P32189/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,No
GLDC,P23378,Localized,https://www.uniprot.org/uniprotkb/P23378/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
GLRX5,Q86SX6,Localized,https://www.uniprot.org/uniprotkb/Q86SX6/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
GLS,O94925,Localized,https://www.uniprot.org/uniprotkb/O94925/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
GLUD1,P00367,Localized,https://www.uniprot.org/uniprotkb/P00367/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
GLUL,P15104,Localized,https://www.uniprot.org/uniprotkb/P15104/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
GLYAT,Q6IB77,Localized,https://www.uniprot.org/uniprotkb/Q6IB77/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
GLYCTK,Q8IVS8,Localized,https://www.uniprot.org/uniprotkb/Q8IVS8/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
GPAM,Q9HCL2,Localized,https://www.uniprot.org/uniprotkb/Q9HCL2/entry#subcellular_location ,mitochondrial membrane [GO:0031966]; mitochondrial outer membrane [GO:0005741],,,Yes
GPD2,P43304,Localized,https://www.uniprot.org/uniprotkb/P43304/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],,,Yes
GPT2,Q8TD30,Localized,,mitochondrial matrix [GO:0005759],,,Yes
GPX1,P07203,Localized,https://www.uniprot.org/uniprotkb/P07203/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
GPX4,P36969,Localized,https://www.uniprot.org/uniprotkb/P36969/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
GRHPR,Q9UBQ7,Localized,,,,,Yes
GSR,P00390,Localized,https://www.uniprot.org/uniprotkb/P00390/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
GSS,P48637,Associated/ancillary,,,,https://pubmed.ncbi.nlm.nih.gov/29329987/,No
GSTM1,P09488,Associated/ancillary,,,,https://pubmed.ncbi.nlm.nih.gov/29329987/,No
GSTP1,P09211,Localized,https://www.uniprot.org/uniprotkb/P09211/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
GSTZ1,O43708,Localized,,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
GTPBP10,A4D1E9,Localized,,mitochondrion [GO:0005739],,,Yes
GTPBP3,Q969Y2,Localized,https://www.uniprot.org/uniprotkb/Q969Y2/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
GUF1,Q8N442,Localized,https://www.uniprot.org/uniprotkb/Q8N442/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
HADH,Q16836,Localized,https://www.uniprot.org/uniprotkb/Q16836/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
HADHA,P40939,Localized,https://www.uniprot.org/uniprotkb/P40939/entry#subcellular_location ,mitochondrial fatty acid beta-oxidation multienzyme complex [GO:0016507]; mitochondrial inner membrane [GO:0005743]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739],,,Yes
HADHB,P55084,Localized,https://www.uniprot.org/uniprotkb/P55084/entry#subcellular_location ,mitochondrial envelope [GO:0005740]; mitochondrial fatty acid beta-oxidation multienzyme complex [GO:0016507]; mitochondrial inner membrane [GO:0005743]; mitochondrial nucleoid [GO:0042645]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
HAGH,Q16775,Localized,https://www.uniprot.org/uniprotkb/Q16775/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
HARS2,P49590,Localized,https://www.uniprot.org/uniprotkb/P49590/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
HAX1,O00165,Localized,https://www.uniprot.org/uniprotkb/O00165/entry#subcellular_location ,mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,No
HCCS,P53701,Localized,https://www.uniprot.org/uniprotkb/P53701/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],,,Yes
HIBADH,P31937,Localized,https://www.uniprot.org/uniprotkb/P31937/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
HIBCH,Q6NVY1,Localized,https://www.uniprot.org/uniprotkb/Q6NVY1/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
HIGD1A,Q9Y241,Localized,https://www.uniprot.org/uniprotkb/Q9Y241/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],,,Yes
HINT1,P49773,Localized,,,,,Yes
HINT2,Q9BX68,Localized,https://www.uniprot.org/uniprotkb/Q9BX68/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
HIP1R,O75146,Localized,,mitochondrion [GO:0005739],,,No
HK1,P19367,Localized,https://www.uniprot.org/uniprotkb/P19367/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,No
HK2,P52789,Localized,https://www.uniprot.org/uniprotkb/P52789/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,No
HKDC1,Q2TB90,Localized,https://www.uniprot.org/uniprotkb/Q2TB90/entry#subcellular_location ,mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739],,,No
HLCS,P50747,Localized,https://www.uniprot.org/uniprotkb/P50747/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
